,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
56,60210,3.91,5.37e-07,3.36e-08,1.97e-05,6.39e-07,,,0.15,0.17,0.183,0.033,149.0,35.0,400.0,0.73,0.5,46.26085662841797,0.3653169274330139,5.358003021685555e+28,9.014018287688105e+27,1.9372695760217703e+52,6.63006533902218e+51,1.4474397875968126e+53,1.3337142024115348e+51,,,217.5,0.03054989816700611,0.034623217922606926,0.14867617107942974,0.10183299389002036,0.89853,0.16203,731.59,1067.925,171.85,1964.0,0.30549898167006106,0.34623217922606925,44.926500000000004,8.1015,2.4386333333333337,3.5597499999999997,0.5728333333333333,6.546666666666667,1.4867617107942972,1.0183299389002036,-0.5149902330672873,0.49220041282368543,1.6525025861894167,0.07831539837599621,0.38714650581558013,0.6339533544560889,0.10201548232626717,1.1658912265859107,0.17224136799748738,0.2974619739063369,52.28719005811336,0.14863191096554892,53.16060050645243,0.004001718921275574,,
65,60605,3.8,8.56e-08,1.36e-08,1.58e-06,1.24e-07,0.000823,5.14e-05,,,-0.013,0.068,90.0,12.0,91.0,1.22,0.72,46.220176696777344,0.34732285141944885,5.258561626121916e+28,8.410968568356946e+27,2.9745245961918713e+51,1.06243397130624e+51,1.1438251708487044e+52,2.0411590238476456e+50,9.413681156084837e+48,6.114547456200162e+47,51.5,,,0.25416666666666665,0.15,-0.0624,0.3264,432.0,247.2,57.599999999999994,436.8,,,-3.1199999999999997,16.32,1.44,0.824,0.19199999999999998,1.456,2.5416666666666665,1.4999999999999998,,,,2.2716942130323945,0.15836249209524964,0.24851295353352743,0.05790593092043357,0.4391199761466213,0.405118593299161,0.256304940139624,51.473417564434705,0.15512032131641335,52.05835964933639,0.007749996444704176,48.97375948454866,0.028209094567079297
54,60115,3.53,1.3e-07,1.09e-08,3.76e-06,2.01e-07,,,,,0.019,0.029,62.0,6.0,19.0,1.11,1.71,46.15300369262695,0.33158087730407715,5.098381939584442e+28,7.785159732861961e+27,4.2463711482632335e+51,1.3448175806063254e+51,2.711216763027638e+52,2.90628608278756e+50,,,12.5,,,0.24503311258278151,0.3774834437086093,0.08606999999999998,0.13137,280.85999999999996,56.62499999999999,27.179999999999996,86.07,,,4.303499999999999,6.568499999999999,0.9361999999999998,0.18874999999999997,0.09059999999999999,0.2869,2.450331125827815,3.774834437086093,,,0.6338218073016795,0.6628705250102265,-0.028631363208576777,0.08755937135146205,0.042028498248701786,0.13309024445422232,0.38922477677382566,0.6690482559050095,51.628017950404235,0.13754022765124616,52.43316424101223,0.004655415331592165,,
77,061110B,3.44,1.79e-07,2.66e-08,6.12e-06,3.38e-07,,,0.24,0.36,0.155,0.064,517.0,53.0,53.0,0.79,0.64,46.05496597290039,0.3055473566055298,4.873318803951058e+28,6.857235081218372e+27,5.342106491873417e+51,1.7000988470301993e+51,4.113655912510106e+52,3.4505635057715984e+50,,,53.0,0.05405405405405406,0.08108108108108109,0.17792792792792794,0.14414414414414417,0.6881999999999999,0.28415999999999997,2295.4799999999996,235.31999999999996,235.31999999999996,235.31999999999996,0.5405405405405406,0.8108108108108109,34.41,14.207999999999998,7.651599999999998,0.7843999999999999,0.7843999999999999,0.7843999999999999,1.7792792792792793,1.4414414414414416,-0.2671717284030138,0.6514417228548777,1.53668467262093,0.17932159252779428,0.8837522584888998,0.04452148460516894,0.04452148460516894,0.04452148460516894,0.2502441211758216,0.35183350432668503,51.72771254118667,0.1382120609311117,52.61422796223771,0.0036428926528736813,,
67,60707,3.43,1.53e-07,2.12e-08,3.41e-06,1.96e-07,,,,,0.05,0.054,63.0,6.0,13.0,,,46.05094909667969,0.2957814335823059,4.864312277455135e+28,6.625795715904159e+27,4.549295951929838e+51,1.390438611637456e+51,2.2887766411544503e+52,2.8591996106125527e+50,,,9.5,,,,,0.2215,0.23922,279.09,42.084999999999994,26.58,57.589999999999996,,,11.075,11.960999999999999,0.9302999999999999,0.14028333333333332,0.0886,0.19196666666666665,,,,,1.0443437348951072,0.4690380404555119,-0.03137697904301122,0.06548885044572846,0.04136137922888113,0.08961632166257577,,,51.65794419053609,0.13273698234629136,52.35960341248792,0.005425320196044257,,
3,971214,3.42,7.5e-07,2.4e-08,,,,,0.03,0.05,0.048,0.002,190.0,20.0,20.0,,,46.0648307800293,0.2901343107223511,4.895508224445702e+28,6.540976058966221e+27,2.2587423591780287e+52,6.079015518935351e+51,,,,,20.0,0.006787330316742082,0.011312217194570137,,,0.21216,0.00884,839.8,88.4,88.4,88.4,0.06787330316742081,0.11312217194570137,10.607999999999999,0.442,2.7993333333333332,0.2946666666666667,0.2946666666666667,0.2946666666666667,,,-1.1683010146294295,0.7238241365054198,1.0256335110606978,0.018095603412635494,0.4470546155822584,0.04571520862139493,0.04571520862139493,0.04571520862139493,,,52.353866696450034,0.11688286999844458,,,,
24,30323,3.37,1.2e-07,6e-08,,,,,,,0.021,0.338,44.0,26.0,90.0,,,46.062557220458984,0.2890813946723938,4.890385246685233e+28,6.510418375115352e+27,3.606427909263894e+51,2.042942217581954e+51,,,,,58.0,,,,,0.09177,1.47706,192.28,253.46,113.62,393.3,,,4.5885,73.853,0.6409333333333334,0.8448666666666667,0.37873333333333337,1.311,,,,,0.6616707360403599,6.990073089680909,-0.19318714126305314,0.5724790897815591,0.25662855748828517,0.8883296220748332,,,51.55707725527784,0.24601587894325297,,,,
79,061222B,3.36,2.29e-07,3.15e-08,5.01e-06,2.49e-07,,,,,0.024,0.043,49.0,8.0,8.0,,,46.04747009277344,0.2963208854198456,4.856525205376169e+28,6.62725366720847e+27,6.787293670188267e+51,2.0743758964197975e+51,3.4057470942313237e+52,4.318494916497734e+50,,,8.0,,,,,0.10463999999999998,0.18747999999999995,213.64,34.879999999999995,34.879999999999995,34.879999999999995,,,5.231999999999999,9.373999999999997,0.7121333333333333,0.11626666666666666,0.11626666666666666,0.11626666666666666,,,,,0.7186677353162108,0.7781109467433259,-0.14743868542256278,0.07090522153522479,0.07090522153522479,0.07090522153522479,,,51.83169664049588,0.13273184408760677,52.53221239475465,0.005506863723201707,,
47,50908,3.35,9.83e-08,1.2e-08,1.09e-06,6.98e-08,,,,,-0.017,0.046,41.0,5.0,9.0,1.1,1.47,46.04874038696289,0.2825454771518707,4.8593670653719034e+28,6.322862681213864e+27,2.9169084169665117e+51,8.384481088430648e+50,7.435437318304271e+51,1.7970642167577486e+50,,,7.0,,,0.25287356321839083,0.33793103448275863,-0.07395,0.20009999999999997,178.35,30.449999999999996,21.75,39.15,,,-3.6975000000000002,10.004999999999999,0.5945,0.10149999999999998,0.0725,0.1305,2.528735632183908,3.3793103448275863,,,,1.1751497745617399,-0.22584814104528958,0.07414783837372589,0.052962741695518505,0.09533293505193331,0.4029034282035877,0.5803753530888911,51.46492279366391,0.124835385614008,51.87130651681776,0.010496424615703309,,
73,60926,3.21,1.56e-07,1.22e-08,5.47e-07,3.8e-08,,,1.03,0.11,0.148,0.05,20.0,11.0,11.0,,,46.038658142089844,0.27684423327445984,4.8368571015467805e+28,6.16658074893131e+27,4.5862843364342616e+51,1.223191806987899e+51,3.8198086546524477e+51,2.878978097854328e+50,,,11.0,0.24465558194774348,0.026128266033254157,,,0.62308,0.21050000000000002,84.2,46.31,46.31,46.31,2.446555819477435,0.26128266033254155,31.153999999999996,10.525,0.2806666666666667,0.15436666666666668,0.15436666666666668,0.15436666666666668,,,0.38855512886950394,0.046380964086755044,1.4935138155666445,0.1467211087510986,-0.5518091632200129,0.23886196504678847,0.23886196504678847,0.23886196504678847,,,51.66146097623702,0.1158291577920632,51.582041608380315,0.03273264224624408,,
