,GRB,z,P_bolo,P_bolo_err,S_bolo,S_bolo_err,F_beam,F_beam_err,T_lag,T_lag_err,V,V_err,E_peak,E_peak_err_min,E_peak_err_max,T_RT,T_RT_err,mu,mu_err,dL,dL_err,L,L_err,E_iso,E_iso_err,E_gamma,E_gamma_err,E_peak_err,T_lag_i,T_lag_i_err,T_RT_i,T_RT_i_err,V_i,V_i_err,E_peak_i,E_peak_i_err,E_peak_i_err_min,E_peak_i_err_max,_T_lag_i,_T_lag_i_err,_V_i,_V_i_err,_E_peak_i,_E_peak_i_err,_E_peak_i_err_min,_E_peak_i_err_max,_T_RT_i,_T_RT_i_err,log_T_lag_i,log_T_lag_i_err,log_V_i,log_V_i_err,log_E_peak_i,log_E_peak_i_err,log_E_peak_i_err_min,log_E_peak_i_err_max,log_T_RT_i,log_T_RT_i_err,log_L,log_L_err,log_E_iso,log_E_iso_err,log_E_gamma,log_E_gamma_err
107,80430,0.77,4.6e-07,2.15e-08,3.01e-06,1.53e-07,,,0.68,0.08,0.009,0.004,80.0,15.0,15.0,0.76,0.12,43.228760296019786,0.2257203761418715,1.326122634436865e+28,1.3784789460991647e+27,1.0165648083618323e+51,2.1661504134189696e+50,3.758118488294173e+51,1.2291818529678601e+50,,,15.0,0.384180790960452,0.04519774011299435,0.4293785310734463,0.06779661016949153,0.01593,0.00708,141.6,26.55,26.55,26.55,3.84180790960452,0.4519774011299435,0.7965,0.35400000000000004,0.472,0.08850000000000001,0.08850000000000001,0.08850000000000001,4.293785310734463,0.6779661016949152,0.5845356463444297,0.051093468459206086,-0.0988142198628497,0.1930197697347786,-0.32605800136591223,0.08143021535685972,0.08143021535685972,0.08143021535685972,0.6328403259189846,0.0685728129320924,51.007135071136105,0.09254178029596515,51.574970468686566,0.014204631856667784,,
76,061110A,0.76,9.79e-08,1.35e-08,2.71e-06,1.18e-07,,,,,-0.038,0.05,90.0,13.0,13.0,,,43.20193355509887,0.22723180400536322,1.3098402736031761e+28,1.3706707348680206e+27,2.1107132424955346e+50,5.290140373949121e+49,3.3197330805801944e+51,2.56367407899323e+49,,,13.0,,,,,-0.06688,0.08800000000000001,158.4,22.88,22.88,22.88,,,-3.344,4.4,0.528,0.07626666666666666,0.07626666666666666,0.07626666666666666,,,,,,0.5714401077674367,-0.27736607746618774,0.06273142516380303,0.06273142516380303,0.06273142516380303,,,50.3244292348893,0.10884845589841267,51.52110316614642,0.003353852490184459,,
9,991208,0.71,2.1e-05,2.1e-06,,,,,,,0.023,0.003,190.0,20.0,20.0,0.27,0.01,43.06263724158754,0.23517360208733196,1.2284545036555887e+28,1.33043399197252e+27,3.9824223116070444e+52,9.500962394568781e+51,,,,,20.0,,,0.15789473684210528,0.0058479532163742695,0.03933,0.00513,324.9,34.2,34.2,34.2,,,1.9665,0.2565,1.083,0.114,0.114,0.114,1.5789473684210527,0.058479532163742694,,,0.2936939507457655,0.05664710633520676,0.034628456625320346,0.04571520862139493,0.04571520862139493,0.04571520862139493,0.1983676537668335,0.01608498081123155,52.60014731241555,0.10361069765768907,,,,
30,41006,0.71,2.5e-06,1.4e-07,1.75e-05,1.8e-06,0.00113,0.00034,,,0.05,0.002,63.0,13.0,13.0,1.28,0.01,43.06263724158227,0.23517360208733196,1.2284545036526103e+28,1.3304339919692943e+27,4.74097894236635e+51,1.0606748492496237e+51,1.9407516138341782e+52,6.64801912957042e+50,2.1930493236326213e+49,6.641180261175733e+48,13.0,,,0.7485380116959065,0.0058479532163742695,0.0855,0.00342,107.73,22.23,22.23,22.23,,,4.275,0.17099999999999999,0.35910000000000003,0.0741,0.0741,0.0741,7.485380116959065,0.058479532163742694,,,0.6309361190641914,0.017371779276130067,-0.44478459487392685,0.08961632166257576,0.08961632166257576,0.08961632166257576,0.8742138592557146,0.003392925639869155,51.675868026351566,0.09716247208066159,52.287969955973665,0.014876700361751602,49.34104839945709,0.1315167839442804
0,970228,0.7,7.3e-06,4.3e-07,,,,,,,0.016,0.01,115.0,38.0,38.0,,,43.0336786230265,0.2368415390765109,1.212180666793851e+28,1.3221201130812584e+27,1.3479302828983084e+52,3.045677312623495e+51,,,,,38.0,,,,,0.0272,0.017,195.5,64.6,64.6,64.6,,,1.3599999999999999,0.8500000000000001,0.6516666666666666,0.21533333333333332,0.21533333333333332,0.21533333333333332,,,,,0.13353890837021748,0.27143405118953245,-0.18597449298777685,0.14350600271585712,0.14350600271585712,0.14350600271585712,,,52.12966743037767,0.098129767341246,,,,
18,20405,0.7,7.4e-06,3.1e-07,0.00011,2.1e-06,0.00598,0.00196,,,0.104,0.007,364.0,90.0,90.0,0.48,0.09,43.0336786230265,0.2368415390765109,1.212180666793851e+28,1.3221201130812584e+27,1.3663950812941756e+52,3.0351078480476294e+51,1.1947810726737623e+53,1.7600206798299277e+51,7.1447908145890985e+50,2.344134885481967e+50,90.0,,,0.2823529411764706,0.052941176470588235,0.17679999999999998,0.011899999999999999,618.8,153.0,153.0,153.0,,,8.84,0.595,2.0626666666666664,0.51,0.51,0.51,2.8235294117647056,0.5294117647058824,,,0.9464522650130731,0.029231359358872718,0.31442905030766743,0.10738050376728754,0.10738050376728754,0.10738050376728754,0.45079231599731323,0.08143021535685972,52.135576289988194,0.09646774995266205,53.07728833403717,0.006397550871601895,50.85398951802558,0.14248770496162913
71,060904B,0.7,4.37e-07,2.28e-08,4.05e-06,2.17e-07,,,0.36,0.09,0.003,0.008,80.0,12.0,770.0,1.0,0.16,43.0336786230265,0.2368415390765109,1.212180666793851e+28,1.3221201130812584e+27,8.069116898993982e+50,1.8098364092988064e+50,4.3989666766624894e+51,1.0661821829069706e+50,,,391.0,0.21176470588235294,0.052941176470588235,0.5882352941176471,0.09411764705882353,0.0051,0.0136,136.0,664.6999999999999,20.4,1309.0,2.1176470588235294,0.5294117647058824,0.255,0.6799999999999999,0.4533333333333333,2.2156666666666665,0.06799999999999999,4.363333333333333,5.88235294117647,0.9411764705882353,0.3258535793890133,0.10857362047581294,-0.5934598195660449,1.1581186184086711,-0.34358234634944496,2.122614280302143,0.06514417228548776,4.180084388318798,0.769551078621726,0.0694871171045203,50.90682600722764,0.09740867254061739,51.64335067209361,0.010526041063156417,,
37,050416A,0.65,5.41e-07,3.24e-08,9.28e-07,5.68e-08,0.0145,0.00838,,,0.021,0.03,15.0,3.0,2.0,0.54,0.06,42.88279238868452,0.24560184711740465,1.1308112129840324e+28,1.278990796442223e+27,8.693353536391228e+50,2.034256047683689e+50,9.037620659576609e+50,1.2346776788969033e+50,1.3104549956386084e+49,7.782249654898415e+48,2.5,,,0.3272727272727273,0.03636363636363636,0.03465,0.049499999999999995,24.75,4.125,4.949999999999999,3.3,,,1.7325,2.4749999999999996,0.0825,0.01375,0.016499999999999997,0.011,3.272727272727273,0.3636363636363636,,,0.23867324328384434,0.6204206884332167,-1.083546051450075,0.07238241365054196,0.08685889638065035,0.05790593092043357,0.5149098156090622,0.04825494243369464,50.939187341627,0.10162547428780719,50.95605410852538,0.05933129117406001,49.11742211076036,0.2579095118233217
89,070612A,0.62,2.77e-07,4.24e-08,2.72e-05,9.37e-07,,,,,0.032,0.023,87.0,17.0,17.0,2.49,1.48,42.78693097521201,0.2512110946396085,1.081976488403436e+28,1.2517059707274706e+27,4.074978110564664e+50,1.1304954897063078e+50,2.4700139191371137e+52,5.884177280015471e+49,,,17.0,,,1.537037037037037,0.9135802469135802,0.051840000000000004,0.03726,140.94,27.540000000000003,27.540000000000003,27.540000000000003,,,2.592,1.863,0.4698,0.0918,0.0918,0.0918,15.370370370370368,9.135802469135802,,,0.41363499719855573,0.31214915886796224,-0.328086987558413,0.08486214014201472,0.08486214014201472,0.08486214014201472,1.1866843325531053,0.2581348727778364,50.61012528019587,0.12048358044503242,52.39269940062299,0.001034595677154703,,
39,050525A,0.61,4.74e-06,6.5e-08,2.44e-05,2.14e-07,0.00247,0.000846,0.12,0.01,0.093,0.003,81.0,1.0,1.0,0.32,0.01,42.75400380553679,0.25314267461788953,1.0656936784751533e+28,1.2423484954739764e+27,6.764769215307838e+51,1.5799520619649397e+51,2.162910722193978e+52,9.803365755388213e+50,5.342389483819125e+49,1.8457745183821888e+49,1.0,0.07453416149068323,0.006211180124223603,0.1987577639751553,0.006211180124223603,0.14972999999999997,0.00483,130.41,1.6099999999999999,1.6099999999999999,1.6099999999999999,0.7453416149068323,0.062111801242236024,7.486499999999999,0.2415,0.4347,0.005366666666666666,0.005366666666666666,0.005366666666666666,1.9875776397515528,0.062111801242236024,-0.1276446299842249,0.03619120682527098,0.8742788289218035,0.014009499416233931,-0.361810359809163,0.005361660270410516,0.005361660270410516,0.005361660270410516,0.2983241022880563,0.013571702559476618,51.83025298493542,0.10143205781955315,52.335038593568214,0.01968434299186285,49.72773554682788,0.1500470324372472
